State,UNITID,men_total,women_total,Total,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,BURGLA15,VEHIC15,ARSON15,TOTAL15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,TOTAL16,MURD17,NEG_M17,RAPE17,FONDL17,INCES17,STATR17,ROBBE17,AGG_A17,BURGLA17,VEHIC17,ARSON17,TOTAL17,PERSONAL17,PROPERTY17,lat,long,name,Rating,Qcrime,Overall Crime Rate,Personal Crime Rate,Property Crime Rate,Crime Rate 2017,Crime Rate 2016,Crime Rate 2015
HI,189361,110641,109003,219644,0,0,10,7,0,0,3,50,59,1,132,0,0,14,9,0,0,4,3,32,61,0,123,0,0,10,8,0,0,1,3,33,75,6,136,21,115,20.2927,-156.3737,Hawaii,1 star,219.644,0.61918377,0.0956092586184917,0.523574511482217,0.61918377,0.559997086,0.600972483
IA,433899,441985,552092,994077,0,0,117,140,0,0,17,188,30,8,556,0,0,126,66,1,0,11,62,211,43,12,532,0,0,136,88,0,0,8,50,178,36,12,508,274,234,42.0751,-93.496,Iowa,3 stars,994.077,0.511026812,0.275632571722311,0.235394240084018,0.511026812,0.535169811,0.55931281
ID,330575,219007,274129,493136,0,0,17,17,0,0,0,79,15,2,145,0,0,28,16,0,0,2,7,65,8,0,126,0,0,24,19,0,0,0,11,55,14,1,124,54,70,44.3509,-114.613,Idaho,5 stars,493.136,0.251451932,0.109503260763765,0.141948671360436,0.251451932,0.255507608,0.294036534
IL,1596584,975052,1288724,2263776,1,0,176,80,0,1,25,395,39,12,841,2,0,194,97,0,1,61,125,425,59,17,981,0,0,213,126,0,1,59,240,342,42,10,1033,580,453,40.0417,-89.1965,Illinois,2 stars,2263.776,0.456317233,0.256209094892781,0.200108137907638,0.456317233,0.433346762,0.371503188
IN,961524,2729120,3471252,6200372,0,0,201,103,0,4,31,385,118,23,927,1,0,177,110,0,0,24,67,327,99,18,823,0,0,209,167,0,0,18,64,273,92,17,840,440,400,39.8942,-86.2816,Indiana,4 stars,6200.372,0.135475742,0.0709634841264363,0.0645122582967603,0.135475742,0.132733971,0.149507159
KS,441829,317005,361645,678650,1,0,45,24,0,0,13,167,31,1,306,0,0,33,33,0,1,8,37,134,25,2,273,0,0,49,41,0,0,7,36,135,25,1,294,126,168,38.4937,-98.3804,Kansas,5 stars,678.65,0.433212996,0.185662712738525,0.247550283651367,0.433212996,0.402269211,0.45089516
KY,792288,507604,658601,1166205,0,0,67,36,0,0,6,156,56,10,355,0,2,90,34,0,0,15,23,194,67,9,434,0,0,86,44,0,0,11,10,116,47,9,323,140,183,37.5347,-85.3021,Kentucky,4 stars,1166.205,0.276966743,0.1200475045125,0.156919238041339,0.276966743,0.372147264,0.304406172
LA,1142015,314514,463901,778415,0,0,43,11,0,0,26,352,52,4,518,0,0,58,17,0,1,36,45,302,48,7,514,2,1,56,32,0,1,21,55,350,31,5,554,147,407,31.0689,-91.9968,Louisiana,3 stars,778.415,0.711702626,0.188845281758445,0.522857344732566,0.711702626,0.660316155,0.665454802
MA,933587,481862,624248,1106110,0,0,324,150,0,1,21,453,26,28,1114,0,0,313,160,0,0,21,106,477,34,29,1140,1,0,313,228,0,0,21,121,354,42,22,1102,663,439,42.2596,-71.8083,Massachusetts,2 stars,1106.11,0.996284276,0.599397889902451,0.396886385621683,0.996284276,1.030638906,1.007133106
MD,666445,862045,911186,1773231,0,0,99,62,0,0,18,200,63,2,479,1,0,98,64,0,0,31,31,153,41,14,433,2,0,115,65,0,0,23,51,177,26,10,469,233,236,39.055,-76.7909,Maryland,1 star,1773.231,0.264488947,0.131398560029686,0.133090386982858,0.264488947,0.244187024,0.27012837
ME,249992,97049,157834,254883,0,0,81,21,0,0,3,51,4,10,171,0,0,71,41,0,0,2,2,66,3,8,193,0,0,58,35,0,0,1,1,39,1,3,138,94,44,45.3695,-69.2428,Maine,5 stars,254.883,0.541424889,0.368796663567205,0.172628225499543,0.541424889,0.757210171,0.670896058
MI,1475916,1139617,1480803,2620420,0,0,156,100,0,0,36,385,83,28,865,1,0,165,105,0,4,42,58,346,86,15,822,0,0,179,102,0,2,11,70,385,111,25,885,353,532,44.3467,-85.4102,Michigan,3 stars,2620.42,0.337732119,0.134711229497561,0.203020889781027,0.337732119,0.313690172,0.330099755
MN,664155,262961,414662,677623,0,0,99,65,0,0,18,163,37,10,415,0,0,117,60,0,0,11,26,147,36,4,401,0,0,139,122,0,0,17,21,178,55,12,544,282,262,46.2807,-94.3053,Minnesota,2 stars,677.623,0.80280628,0.416160608479936,0.38664567170831,0.80280628,0.591774482,0.612434938
MO,1612440,778962,1051550,1830512,0,0,95,50,0,0,26,226,75,7,564,0,0,154,70,0,1,18,50,235,83,10,621,0,0,131,88,0,2,24,56,279,122,9,711,277,434,38.3566,-92.458,Missouri,5 stars,1830.512,0.388415919,0.151323782635678,0.237092135970701,0.388415919,0.339249347,0.308110518
MS,446113,201503,286908,488411,1,0,34,2,0,0,25,248,28,7,369,0,0,37,2,0,0,31,22,192,28,5,317,0,0,41,4,0,0,14,18,187,23,2,289,63,226,32.7364,-89.6678,Mississippi,5 stars,488.411,0.591714765,0.128989723818669,0.462725041000305,0.591714765,0.649043531,0.75551124
MT,202980,47667,60319,107986,0,0,18,10,0,0,0,35,7,4,81,0,0,33,9,0,1,3,4,20,11,8,89,0,0,21,4,0,0,1,6,18,8,3,61,31,30,47.0527,-109.6333,Montana,4 stars,107.986,0.564888041,0.287074250365788,0.277813790676569,0.564888041,0.824180912,0.750097235
NC,1996619,831920,1102515,1934435,2,0,199,89,0,1,34,537,102,22,1068,0,0,243,114,0,0,49,71,606,73,14,1170,3,0,300,146,0,2,36,95,570,104,17,1273,546,727,35.5557,-79.3877,North Carolina,4 stars,1934.435,0.658073288,0.28225295758193,0.375820329967148,0.658073288,0.604827766,0.552099192
ND,277993,70624,67536,138160,0,0,10,7,0,0,1,40,4,2,67,0,0,6,4,0,0,1,5,30,8,2,56,0,0,25,8,0,0,0,7,47,5,2,94,40,54,47.4501,-100.4659,North Dakota,4 stars,138.16,0.680370585,0.289519397799653,0.390851187029531,0.680370585,0.405327157,0.484944991
NE,424580,173873,200171,374044,0,0,29,11,0,0,4,94,16,3,180,0,0,44,20,1,1,3,11,63,25,2,170,0,0,138,115,0,2,5,13,52,40,2,367,268,99,41.5378,-99.7951,Nebraska,3 stars,374.044,0.981167991,0.716493246783801,0.264674744147747,0.981167991,0.454491985,0.481226808
NH,267725,132382,226839,359221,0,0,82,30,0,1,0,55,6,6,189,0,0,75,33,0,0,3,11,59,4,9,194,0,0,93,50,0,1,0,11,65,3,4,227,155,72,43.6805,-71.5811,New Hampshire,5 stars,359.221,0.631922967,0.431489250350063,0.200433716291642,0.631922967,0.540057513,0.526138505
NJ,1334690,564472,680305,1244777,0,0,110,62,0,2,22,166,23,5,421,0,0,137,73,0,1,25,30,220,36,10,532,0,0,145,67,0,0,35,31,168,30,19,495,243,252,40.1907,-74.6728,New Jersey,1 star,1244.777,0.397661589,0.195215689235903,0.202445899948344,0.397661589,0.427385789,0.33821319
NM,426407,236807,279068,515875,0,0,24,25,0,0,18,198,142,13,487,0,0,41,25,0,0,13,50,143,216,8,496,0,0,31,18,0,0,8,42,111,273,4,487,91,396,34.4071,-106.1126,New Mexico,4 stars,515.875,0.944027138,0.176399321541071,0.767627816816089,0.944027138,0.961473225,0.944027138
NV,413753,172666,200925,373591,0,0,8,3,0,0,7,34,31,2,90,0,0,5,4,0,0,5,6,27,61,0,108,0,0,7,3,0,0,7,10,86,30,2,145,20,125,39.3289,-116.6312,Nevada,3 stars,373.591,0.388124982,0.0535344802203479,0.334590501377174,0.388124982,0.289086193,0.240905161
